fecha,tipo_vuelo,categoria,aeronave,semana,num_operaciones
2022-03-21,Llegada,Comercial,Avión,1,8
2022-03-21,Llegada,FAM,Avión,1,2
2022-03-21,Llegada,Privado,Avión,1,4
2022-03-21,Salida,Comercial,Avión,1,8
2022-03-21,Salida,FAM,Avión,1,2
2022-03-21,Salida,FAM,Helicóptero,1,1
2022-03-21,Salida,Privado,Avión,1,3
2022-03-21,Salida,Privado,Helicóptero,1,2
2022-03-22,Llegada,Comercial,Avión,1,6
2022-03-22,Llegada,Privado,Avión,1,1
2022-03-22,Salida,Comercial,Avión,1,6
2022-03-22,Salida,Privado,Avión,1,1
2022-03-23,Llegada,Comercial,Avión,1,5
2022-03-23,Llegada,FAM,Avión,1,1
2022-03-23,Llegada,Privado,Avión,1,1
2022-03-23,Salida,Comercial,Avión,1,6
2022-03-23,Salida,FAM,Avión,1,1
2022-03-23,Salida,Privado,Avión,1,1
2022-03-24,Llegada,Comercial,Avión,1,6
2022-03-24,Llegada,Privado,Avión,1,2
2022-03-24,Salida,Comercial,Avión,1,5
2022-03-24,Salida,FAM,Avión,1,1
2022-03-24,Salida,Privado,Avión,1,2
2022-03-25,Llegada,Comercial,Avión,1,6
2022-03-25,Llegada,FAM,Avión,1,1
2022-03-25,Salida,Comercial,Avión,1,6
2022-03-26,Llegada,Comercial,Avión,1,6
2022-03-26,Llegada,Privado,Avión,1,1
2022-03-26,Salida,Comercial,Avión,1,6
2022-03-26,Salida,Privado,Avión,1,1
2022-03-27,Llegada,Comercial,Avión,1,6
2022-03-27,Salida,Comercial,Avión,1,6
2022-03-28,Llegada,Comercial,Avión,2,6
2022-03-28,Llegada,FAM,Avión,2,2
2022-03-28,Salida,Comercial,Avión,2,6
2022-03-28,Salida,FAM,Avión,2,2
2022-03-29,Llegada,Comercial,Avión,2,6
2022-03-29,Llegada,FAM,Avión,2,1
2022-03-29,Salida,Comercial,Avión,2,6
2022-03-30,Llegada,Comercial,Avión,2,6
2022-03-30,Salida,Comercial,Avión,2,6
2022-03-30,Salida,FAM,Avión,2,1
2022-03-31,Llegada,Comercial,Avión,2,6
2022-03-31,Salida,Comercial,Avión,2,6
2022-03-31,Salida,FAM,Avión,2,1
2022-04-01,Llegada,Comercial,Avión,2,6
2022-04-01,Llegada,FAM,Avión,2,1
2022-04-01,Llegada,Privado,Avión,2,1
2022-04-01,Salida,Comercial,Avión,2,6
2022-04-01,Salida,Privado,Avión,2,1
2022-04-02,Llegada,Comercial,Avión,2,6
2022-04-02,Llegada,FAM,Avión,2,1
2022-04-02,Salida,Comercial,Avión,2,6
2022-04-03,Llegada,Comercial,Avión,2,6
2022-04-03,Salida,Comercial,Avión,2,6
2022-04-03,Salida,FAM,Avión,2,1
2022-04-04,Llegada,Comercial,Avión,3,6
2022-04-04,Salida,Comercial,Avión,3,6
2022-04-05,Llegada,Comercial,Avión,3,6
2022-04-05,Salida,Comercial,Avión,3,6
2022-04-06,Llegada,Comercial,Avión,3,6
2022-04-06,Llegada,Privado,Avión,3,1
2022-04-06,Salida,Comercial,Avión,3,6
2022-04-06,Salida,Privado,Avión,3,1
2022-04-07,Llegada,Comercial,Avión,3,6
2022-04-07,Salida,Comercial,Avión,3,6
2022-04-07,Salida,FAM,Avión,3,1
2022-04-07,Salida,Privado,Helicóptero,3,1
2022-04-08,Llegada,Comercial,Avión,3,6
2022-04-08,Llegada,FAM,Avión,3,1
2022-04-08,Salida,Comercial,Avión,3,6
2022-04-09,Llegada,Comercial,Avión,3,6
2022-04-09,Llegada,Privado,Avión,3,1
2022-04-09,Salida,Comercial,Avión,3,6
2022-04-09,Salida,Privado,Avión,3,1
2022-04-10,Llegada,Comercial,Avión,3,5
2022-04-10,Salida,Comercial,Avión,3,5
2022-04-11,Llegada,Comercial,Avión,4,6
2022-04-11,Salida,Comercial,Avión,4,6
2022-04-11,Salida,Privado,Helicóptero,4,1
2022-04-12,Llegada,Comercial,Avión,4,7
2022-04-12,Salida,Comercial,Avión,4,6
2022-04-12,Salida,FAM,Avión,4,1
2022-04-13,Llegada,Comercial,Avión,4,6
2022-04-13,Llegada,FAM,Avión,4,1
2022-04-13,Salida,Comercial,Avión,4,7
2022-04-14,Llegada,Comercial,Avión,4,6
2022-04-14,Salida,Comercial,Avión,4,6
2022-04-15,Llegada,Comercial,Avión,4,6
2022-04-15,Salida,Comercial,Avión,4,6
2022-04-16,Llegada,Comercial,Avión,4,6
2022-04-16,Llegada,Privado,Avión,4,1
2022-04-16,Salida,Comercial,Avión,4,6
2022-04-17,Llegada,Comercial,Avión,4,6
2022-04-17,Llegada,Privado,Avión,4,2
2022-04-17,Salida,Comercial,Avión,4,6
2022-04-17,Salida,Privado,Avión,4,1
2022-04-18,Llegada,Comercial,Avión,5,6
2022-04-18,Salida,Comercial,Avión,5,6
2022-04-18,Salida,Privado,Avión,5,1
2022-04-19,Llegada,Comercial,Avión,5,6
2022-04-19,Salida,Comercial,Avión,5,6
2022-04-20,Llegada,Comercial,Avión,5,6
2022-04-20,Salida,Comercial,Avión,5,6
2022-04-20,Salida,Privado,Avión,5,2
2022-04-21,Llegada,Comercial,Avión,5,6
2022-04-21,Llegada,FAM,Avión,5,1
2022-04-21,Llegada,Privado,Avión,5,1
2022-04-21,Salida,Comercial,Avión,5,6
2022-04-21,Salida,FAM,Avión,5,2
2022-04-21,Salida,Privado,Avión,5,1
2022-04-22,Llegada,Comercial,Avión,5,6
2022-04-22,Llegada,FAM,Avión,5,1
2022-04-22,Salida,Comercial,Avión,5,6
2022-04-22,Salida,FAM,Avión,5,1
2022-04-23,Llegada,Comercial,Avión,5,6
2022-04-23,Llegada,Privado,Avión,5,1
2022-04-23,Salida,Comercial,Avión,5,6
2022-04-23,Salida,Privado,Avión,5,1
2022-04-24,Llegada,Comercial,Avión,5,6
2022-04-24,Llegada,Privado,Avión,5,1
2022-04-24,Salida,Comercial,Avión,5,6
2022-04-24,Salida,Privado,Avión,5,1
2022-04-25,Llegada,Comercial,Avión,6,6
2022-04-25,Salida,Comercial,Avión,6,6
2022-04-25,Salida,Privado,Avión,6,1
2022-04-26,Llegada,Comercial,Avión,6,7
2022-04-26,Salida,Comercial,Avión,6,6
2022-04-27,Llegada,Comercial,Avión,6,6
2022-04-27,Salida,Comercial,Avión,6,7
2022-04-28,Llegada,Comercial,Avión,6,5
2022-04-28,Salida,Comercial,Avión,6,5
2022-04-29,Llegada,Comercial,Avión,6,6
2022-04-29,Salida,Comercial,Avión,6,6
2022-04-30,Llegada,Comercial,Avión,6,4
2022-04-30,Salida,Comercial,Avión,6,4
2022-05-01,Llegada,Comercial,Avión,6,5
2022-05-01,Llegada,Privado,Avión,6,1
2022-05-01,Salida,Comercial,Avión,6,6
2022-05-01,Salida,Privado,Avión,6,1
2022-05-02,Llegada,Comercial,Avión,7,5
2022-05-02,Llegada,FAM,Avión,7,1
